"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Meher S.; Brandt P.T.","Meher, Shreyas (59487570700); Brandt, Patrick T. (35884396500)","59487570700; 35884396500","ConflLlama: Domain-specific adaptation of large language models for conflict event classification","2025","Research and Politics","12","3","20531680251356282","","","3","10.1177/20531680251356282","https://www.scopus.com/pages/publications/105011316110?origin=resultslist","School of Economic, Political and Policy Sciences, The University of Texas at Dallas, United States","Meher S., School of Economic, Political and Policy Sciences, The University of Texas at Dallas, United States; Brandt P.T., School of Economic, Political and Policy Sciences, The University of Texas at Dallas, United States","We present ConflLlama, demonstrating how efficient fine-tuning of large language models can advance automated classification tasks in political science research. While classification of political events has traditionally relied on manual coding or rigid rule-based systems, modern language models offer the potential for more nuanced, context-aware analysis. However, deploying these models requires overcoming significant technical and resource barriers. We demonstrate how to adapt open-source language models to specialized political science tasks, using conflict event classification as our proof of concept. Through quantization and efficient fine-tuning techniques, we show state-of-the-art performance while minimizing computational requirements. Our approach achieves a macro-averaged AUC of 0.791 and a weighted F1-score of 0.753, representing a 37.6% improvement over the base model, with accuracy gains of up to 1463% in challenging classifications. We offer a roadmap for political scientists to adapt these methods to their own research domains, democratizing access to advanced NLP capabilities across the discipline. This work bridges the gap between cutting-edge AI developments and practical political science research needs, enabling broader adoption of these powerful analytical tools. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution 4.0 License (https://creativecommons.org/licenses/by/4.0/) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages (https://us.sagepub.com/en-us/nam/open-access-at-sage).","computational political science; efficient adaptation; large language models; multi-label classification; Political event classification; quantization-aware fine-tuning","","S. Meher; School of Economic, Political, and Policy Sciences, The University of Texas at Dallas, Richardson, 800 West Campbell Rd, 75080, United States; email: shreyas.meher@utdallas.edu","","SAGE Publications Ltd","20531680","","","","English","Res. Polit.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011316110"
"Chopra B.; Singha A.; Fariha A.; Gulwani S.; Parnin C.; Tiwari A.; Henley A.Z.","Chopra, Bhavya (57223395731); Singha, Ananya (58666534200); Fariha, Anna (55204811400); Gulwani, Sumit (55901318200); Parnin, Chris (15136883200); Tiwari, Ashish (35582811300); Henley, Austin Z. (56158095900)","57223395731; 58666534200; 55204811400; 55901318200; 15136883200; 35582811300; 56158095900","Challenges in Using Conversational AI for Data Science","2025","HILDA 2025 - Workshop on Human-In-the-Loop Data Analytics, Co-located with SIGMOD 2025","","","1","","","2","10.1145/3736733.3736748","https://www.scopus.com/pages/publications/105012243544?origin=resultslist","University of California, Berkeley, CA, United States; Microsoft, Bangalore, India; University of Utah, Salt Lake City, UT, United States; Microsoft, Redmond, WA, United States; Microsoft, Raleigh, NC, United States; Carnegie Mellon University, Pittsburgh, PA, United States","Chopra B., University of California, Berkeley, CA, United States; Singha A., Microsoft, Bangalore, India; Fariha A., University of Utah, Salt Lake City, UT, United States; Gulwani S., Microsoft, Redmond, WA, United States; Parnin C., Microsoft, Raleigh, NC, United States; Tiwari A., Microsoft, Redmond, WA, United States; Henley A.Z., Carnegie Mellon University, Pittsburgh, PA, United States","Large Language Models (LLMs) are transforming data science, offering assistance in coding, preprocessing, analysis, and decision-making. However, data scientists face significant challenges when interacting with LLM-powered agents and implementing their suggestions effectively. To explore these challenges, we conducted a mixed-methods study comprising contextual observations, semi-structured interviews (n=14), and a survey (n=114). Our findings reveal key obstacles, including difficulties in retrieving contextual data, crafting prompts for complex tasks, adapting generated code to local environments, and refining prompts iteratively. Based on these insights, we propose actionable design recommendations, such as data brushing for improved context selection and inquisitive feedback loops to enhance communication with conversational AI assistants in data science workflows. © 2025 Copyright held by the owner/author(s).","computational notebooks; data science; large language models","Computer programming; Data assimilation; Human engineering; Iterative methods; Metadata; Complex task; Computational notebook; Decisions makings; Design recommendations; Feedback loops; Language model; Large language model; Local environments; Mixed method; Semi structured interviews; Decision making","A. Fariha; University of Utah, Salt Lake City, United States; email: afariha@cs.utah.edu","","Association for Computing Machinery, Inc","","979-840071959-2","","","English","HILDA - Workshop Hum.-In-the-Loop Data Anal., Co-located SIGMOD","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012243544"
"Hu R.; Wang D.; Xie M.; Li Z.; Chen D.","Hu, Ruiguo (60029065000); Wang, Dongqi (59296752700); Xie, Mingzhao (59296507800); Li, Zhenglin (57193617258); Chen, Dongming (55554104900)","60029065000; 59296752700; 59296507800; 57193617258; 55554104900","TriGraSum: A Tri-level Graph-based Architecture for Source Code Summarization","2025","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","","","","918","921","0","10.1109/APSEC66846.2025.00104","https://www.scopus.com/pages/publications/105035193119?origin=resultslist","Northeastern University, Software College, Shenyang, China","Hu R., Northeastern University, Software College, Shenyang, China; Wang D., Northeastern University, Software College, Shenyang, China; Xie M., Northeastern University, Software College, Shenyang, China; Li Z., Northeastern University, Software College, Shenyang, China; Chen D., Northeastern University, Software College, Shenyang, China","Recently, source code summarization has become a promising area in software engineering research. Most previous works only focus on a single code property(e.g., token or syntax) and ignore cross-granularity interactions, limiting the quality of code summarization. To address these issues, we present TriGraSum, a tri-level graph-based architecture for source code summarization that leverages multi-granularity representations and an explicit node-mapping relationship among the three granularities to capture richer features of source code. Specifically, we use sub-token embeddings obtained from a pre-trained LLM to capture fine-grained lexical and naming information. We design a Syntactic-Level Local Graph (SLG) to efficiently extract essential syntactic patterns and provide a skeleton for multi-granularity integration, and a Statement-Level Key-Structure Graph (SKG) to extract core statement-level logic relationships. The SLG and SKG representations are encoded using Graph Attention Networks (GATs) and integrated through a hierarchical pyramid attention mechanism to achieve comprehensive feature fusion. Finally, the fused representations are utilized for code summarization. Experiments on the FunCom and EMSE-DeepCom datasets demonstrate that TriGraSum achieves state-of-the-art performance, with up to 1.6% BLEU improvement over the strongest baseline on EMSE-DeepCom dataset. This work lays a foundation for more accurate and interpretable code summarization. © 2025 IEEE.","Code Comprehension; Code embedding; Graph neural networks; Source code summarization","Codes (symbols); Engineering research; Graph embeddings; Graph neural networks; Graph structures; Graphic methods; Network coding; Software engineering; Code comprehension; Code embedding; Embeddings; Graph neural networks; Graph-based; Key structures; Level graphs; Multi-granularity; Source code summarization; Source codes; Syntactics","R. Hu; Northeastern University, Software College, Shenyang, China; email: 2371445@stu.neu.edu.cn","Zhang T.; Luo X.; Keung J.; Choi E.","IEEE Computer Society","15301362","979-833156653-1","","","English","Proc. Asia Pac. Softw. Eng. Conf. APSEC","Conference paper","Final","","Scopus","2-s2.0-105035193119"
"Badel A.M.; Zhong T.; Xu X.; Tai W.; Zhou F.","Badel, Abdisalam Mahamed (58882141600); Zhong, Ting (59593325800); Xu, Xovee (57218792252); Tai, Wenxin (57221676740); Zhou, Fan (57191032864)","58882141600; 59593325800; 57218792252; 57221676740; 57191032864","Hate Speech Detection in Somali-English Code-Switched Texts","2026","Lecture Notes in Computer Science","16104 LNAI","","","364","376","0","10.1007/978-981-95-3349-7_28","https://www.scopus.com/pages/publications/105025976669?origin=resultslist","University of Electronic Science and Technology of China, Chengdu, 610054, China; Kashi Institute of Electronics and Information Industry, Xinjiang, Kashi, China","Badel A.M., University of Electronic Science and Technology of China, Chengdu, 610054, China; Zhong T., University of Electronic Science and Technology of China, Chengdu, 610054, China; Xu X., University of Electronic Science and Technology of China, Chengdu, 610054, China; Tai W., University of Electronic Science and Technology of China, Chengdu, 610054, China; Zhou F., University of Electronic Science and Technology of China, Chengdu, 610054, China, Kashi Institute of Electronics and Information Industry, Xinjiang, Kashi, China","The use of large language models (LLMs) have grown significantly worldwide, offering numerous benefits but also posing risks of misuse. For example, LLMs can generate harmful content, such as hate speech targeting specific individuals or groups. Although recent research has begun addressing the detection of LLM-generated hate speech, low-resource languages remain markedly underrepresented. As LLMs are increasingly adopted by culturally and linguistically diverse communities, it is essential to evaluate their impact across all languages they are trained on, including those with limited resources. Code-switching, the practice of alternating between two or more languages within a single piece of content, presents unique challenges for automated hate speech detection. This study investigates the capability of LLMs to detect hate speech in Somali-English code-switched texts and introduces an evaluation framework that integrates local linguistic knowledge. We employ in-context few-shot learning and retrieval-augmented generation to enhance detection performance. Moreover, we develop a high-quality benchmark dataset consisting of 3,012 Somali-English code-switched texts containing explicit hate speech. Our findings reveal that while LLMs perform well in detecting hate speech in English segments, they struggle with the Somali segments, especially when the English portion expresses strong positive sentiment. Our proposed linguistic adjustments and strategies significantly enhance LLM performance in these multilingual and code-switched contexts. Our code and dataset are available at:https://github.com/Abdisalam-Badel/SECSHSD © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Hate speech; Large language model; Low-resource; Retrieval-augmented generation; Somali","Benchmarking; Computational linguistics; Speech analysis; Speech coding; Speech communication; Diverse community; Hate speech; Language model; Large language model; Low resource languages; Low-resource; Recent researches; Retrieval-augmented generation; Somali; Speech detection; Codes (symbols)","F. Zhou; University of Electronic Science and Technology of China, Chengdu, 610054, China; email: fan.zhou@uestc.edu.cn","Mao X.-L.; Ren Z.; Yang M.","Springer Science and Business Media Deutschland GmbH","03029743","978-981953348-0","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-105025976669"
"Paul B.; Preotee F.F.; Sarker S.; Muhammad T.","Paul, Bidyarthi (59520284300); Preotee, Faika Fairuj (59521055100); Sarker, Shuvashis (59520394100); Muhammad, Tashreef (57216696139)","59520284300; 59521055100; 59520394100; 57216696139","Improving Bangla Regional Dialect Detection Using BERT, LLMs, and XAI","2024","2024 IEEE Conference on Computing Applications and Systems, COMPAS 2024","","","","","","4","10.1109/COMPAS60761.2024.10796843","https://www.scopus.com/pages/publications/85215519819?origin=resultslist","Ahsanullah University of Science and Technology, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh; Southeast University, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh","Paul B., Ahsanullah University of Science and Technology, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh; Preotee F.F., Ahsanullah University of Science and Technology, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh; Sarker S., Ahsanullah University of Science and Technology, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh; Muhammad T., Southeast University, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh","This research addresses the challenge of identifying and categorizing Bangla regional dialects through the application of sophisticated natural language processing techniques. Automated translation, digital content personalization, and speech recognition systems are all improved by precise dialect detection, which is a result of the linguistic diversity in Bangladesh. Few-shot learning techniques were used to compare the performance of transformer-based models, specifically Bangla BERT, with state-of-the-art large language models such as GPT-3.5 Turbo and Gemini 1.5 Pro, and to fine-tune them. The methodology entailed the utilization of a diverse regional Bangla speech samples from the Vasantor dataset, which encompassed regions including Mymensingh, Chittagong, Barishal, Noakhali, and Sylhet. In order to enhance the interpretability of the model, implementation of Local Interpretable Model-agnostic Explanations (LIME) was done. The Bangla BERT model achieved the highest accuracy of 88.74%. GPT-3.5 Turbo's few-shot learning exhibited substantial potential, with an accuracy rate of 64%. These results underscore the significance of hyperparameter optimization and fine-tuning in the enhancement of regional dialect detection models.  © 2024 IEEE.","Bangla BERT; Bangla dialect detection; Explainable AI; LLM","Computational linguistics; Computer aided language translation; Contrastive Learning; Image coding; Image compression; Image thinning; Modeling languages; Natural language processing systems; Speech enhancement; Zero-shot learning; Automated translation; Bangla BERT; Bangla dialect detection; Content personalization; Digital contents; Explainable AI; Language processing techniques; LLM; Natural languages; Speech recognition systems; Speech recognition","B. Paul; Ahsanullah University of Science and Technology, Department of Computer Science and Engineering, Dhaka, 1208, Bangladesh; email: bidyarthipaul01@gmail.com","","Institute of Electrical and Electronics Engineers Inc.","","979-833152976-5","","","English","IEEE Conf. Comput. Appl. Syst., COMPAS","Conference paper","Final","","Scopus","2-s2.0-85215519819"
"","","","Proceedings of the 2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2023","2023","Proceedings of the 2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2023","","","","","","0","","https://www.scopus.com/pages/publications/85190592150?origin=resultslist","","","The proceedings contain 135 papers. The topics discuss include: digital twins in smart farming; analyzing cybersecurity patterns in the pacific region: trends and challenges for 2023; transfer learning in Monte Carlo tree search; two-stage fine-tuning for low-resource English-based Creole with pre-trained LLMs; combining first-order and texture features with convolutional neural network for classification of residential area density in aerial images; shallow learning for predictive blood test anomaly detection: case study for rheumatic diseases; deep learning based intrusion detection for internet of things and edge devices; evaluation of data durability in erasure coding using peak shift method of drive failure risk; and review of secure healthcare and patient monitoring system using block chain for accessing medical records.","","","","","Institute of Electrical and Electronics Engineers Inc.","","979-835034107-2","","","English","Proc. IEEE Asia-Pacific Conf. Comput. Sci. Data Eng., CSDE","Conference review","Final","","Scopus","2-s2.0-85190592150"
"Toth B.","Toth, Boriska (60233815900)","60233815900","Exploring the use of large language models for COICOP classification","2025","Statistical Journal of the IAOS","41","4","","1028","1037","0","10.1177/18747655251393372","https://www.scopus.com/pages/publications/105024486389?origin=resultslist","Division for Methods, Statistics Norway, Oslo, Norway","Toth B., Division for Methods, Statistics Norway, Oslo, Norway","In this paper we explore the potential of large language models (LLMs) for COICOP classification in the household budget survey (HBS). The major goal is to reduce or even eliminate manual coding in the production process. We describe Norway's last survey, HBS 2022, where large savings were realized from the use of machine learning while significant manual coding remained necessary. Initial experiments with a commercial LLM were very promising, with the latest free model of ChatGPT achieving similar accuracy to a human coder. We developed a prototype classification pipeline using self-hosted LLMs. It uses retrieval augmented generation (RAG) to retrieve information about relevant codes to insert into the prompt. Performance is still limited on the smaller LLMs our computing setup at the time could handle. However, support for larger models is quickly expanding at Statistics Norway, and further development on using better quality embeddings and larger LLMs is ongoing. In addition, we describe the performance of several other methods for classification, such as a BERT-based classifier or hierarchical prompting. We also mention approaches to issues such as adapting models to a less widely-spoken language like Norwegian and extracting a measure of an LLM's confidence in individual predictions. Finally, we give some recommendations for using LLMs in conjunction with machine learning and human-in-the-loop coding. © The Author(s) 2025","classification; COICOP; generative AI; household budget survey.; Large language models; machine learning; retrieval augmented generation","","B. Toth; Division for Methods, Statistics Norway, Oslo, Norway; email: bto@ssb.no","","SAGE Publications Ltd","18747655","","","","English","Stat. J. IAOS","Article","Final","","Scopus","2-s2.0-105024486389"
"Liang W.; Zeng Y.; Zheng H.-T.; Wang J.; Lin H.; Kim H.-G.; An B.; Wei Z.; Xu Y.","Liang, Wenjie (60226866400); Zeng, Yongqin (60352145400); Zheng, Hai-Tao (57203433967); Wang, Jiale (60395011200); Lin, Haiye (59525640600); Kim, Hong-Gee (23389443700); An, Bingxu (59666710900); Wei, Zhao (58344389400); Xu, Yong (57485796600)","60226866400; 60352145400; 57203433967; 60395011200; 59525640600; 23389443700; 59666710900; 58344389400; 57485796600","Repository-Level Code Smell Detection Based on Multi-Scale Code Information and LLM Assistance","2025","Proceedings of the International Joint Conference on Neural Networks","","","","","","0","10.1109/IJCNN64981.2025.11228932","https://www.scopus.com/pages/publications/105029304024?origin=resultslist","Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; Pengcheng Laboratory, Shenzhen, 518055, China; Seoul National University, South Korea; Tencent, China","Liang W., Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; Zeng Y., Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; Zheng H.-T., Tsinghua University, Shenzhen International Graduate School, Shenzhen, China, Pengcheng Laboratory, Shenzhen, 518055, China; Wang J., Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; Lin H., Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; Kim H.-G., Seoul National University, South Korea; An B., Tencent, China; Wei Z., Tencent, China; Xu Y., Tencent, China","In software engineering, code smell detection has always been an important research task because it affects the readability and maintainability of programs. Traditional code smell detection work mostly focuses on a single file, and the study of repo-level code smell caused by the interaction of multiple files is still relatively lacking, although it is more practical in reality. Although large language models (LLMs) have recently achieved remarkable success in the field of code generation, simply copying the fine-tuning method based on LLM is not good enough in this task because it is difficult to model the logical relationship between multiple files. In this paper, we propose a repo-level code smell detection model(RSD), which divides the levels according to the distance between the rest class and the problem class, uses cross attention and CNN to model global and local information, and uses LLM to generate teacher vectors in the same scenario for assistance. Finally, the detection performance surpasses the fine-tuning baseline method based on multiple code LLMs and has achieved the state-of-the-art. Finally, we also contribute the BenchMark used in this article to help researchers in the repo-level smell detection task.  © 2025 IEEE.","Artificial Intelligence; Program verification; Software; Software Engineering; Software Quality/SQA","Codes (symbols); Computer programming languages; Computer software selection and evaluation; Software quality; Tuning; Code smell; Codegeneration; Engineering codes; Fine-tuning methods; Language model; Multi-scales; Program Verification; Software; Software Quality; Software quality/SQA; Artificial intelligence","H.-T. Zheng; Tsinghua University, Shenzhen International Graduate School, Shenzhen, China; email: zheng.haitao@sz.tsinghua.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","21614393","","85OFA","","English","Proc Int Jt Conf Neural Networks","Conference paper","Final","","Scopus","2-s2.0-105029304024"
"Li S.; Fu W.; Zhao Y.; Guo X.; Jin Y.","Li, Shijie (58894016200); Fu, Weimin (57439930600); Zhao, Yifang (58893941700); Guo, Xiaolong (56900187200); Jin, Yier (57445790300)","58894016200; 57439930600; 58893941700; 56900187200; 57445790300","Intelligence in the Fence: Construct A Privacy and Reliable Hardware Design Assistant LLM","2025","Proceedings of the ACM Great Lakes Symposium on VLSI, GLSVLSI","","","","659","666","1","10.1145/3716368.3735172","https://www.scopus.com/pages/publications/105017574684?origin=resultslist","School of Cyber Science and Technology, University of Science and Technology of China, Anhui, Hefei, China; Mike Wiegers Department of Electrical and Computer Engineering, Kansas State University, Manhattan, KS, United States","Li S., School of Cyber Science and Technology, University of Science and Technology of China, Anhui, Hefei, China; Fu W., Mike Wiegers Department of Electrical and Computer Engineering, Kansas State University, Manhattan, KS, United States; Zhao Y., School of Cyber Science and Technology, University of Science and Technology of China, Anhui, Hefei, China; Guo X., Mike Wiegers Department of Electrical and Computer Engineering, Kansas State University, Manhattan, KS, United States; Jin Y., School of Cyber Science and Technology, University of Science and Technology of China, Anhui, Hefei, China","Large language models (LLMs) have been widely used for code assistance in the software and hardware domains. The trend of training a local model for code generation is growing because of the security concerns of releasing proprietary data to third-party providers. However, due to the lack of high-quality training datasets in the hardware domain, researchers have to rely on commercial LLMs, facing the issue of training data leakage. This paper adheres to the principle of zero data upload to address data privacy concerns. Instead of commercial LLMs, we propose a localized and transparent solution leveraging local LLMs to synthesize data and eliminate data leakage risks. We propose an innovative approach to constructing high-quality data by interpretation. To enable efficient local deployment, we fine-tune compact open-source LLMs. The proposed training process and the new dataset structure help us locally train a hardware design assistant LLM named PrivacyGen. PrivacyGen outperforms GPT-4 in the VerilogEval [21] benchmark and performs similarly to GPT-4 in RTLLM [24] while exhibiting a significantly smaller model size and lower total cost of ownership. © 2025 Copyright held by the owner/author(s).","Data Privacy; Dataset Construction; Domain-Specific Large Language Model; Verilog Code Generation","Computer hardware; Computer hardware description languages; Hardware-software codesign; Information leakage; Large datasets; Privacy by design; Codegeneration; Data leakage; Dataset construction; Domain specific; Domain-specific large language model; Hardware design; Hardware domain; Language model; Verilog code; Verilog code generation; Codes (symbols)","Y. Jin; School of Cyber Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; email: jinyier@ustc.edu.cn","","Association for Computing Machinery","","979-840071496-2","","","English","Proc. ACM Great Lakes Symp. VLSI GLSVLSI","Conference paper","Final","","Scopus","2-s2.0-105017574684"
"Tu N.A.; Makhanov N.; Taniyev K.; Duc Do T.","Tu, Nguyen Anh (57104836200); Makhanov, Nursultan (57562044200); Taniyev, Kenzhebek (59558203600); Duc Do, Ton (55266268300)","57104836200; 57562044200; 59558203600; 55266268300","Federated Aerial Video Captioning With Effective Temporal Adaptation","2026","IEEE Geoscience and Remote Sensing Letters","23","","8000405","","","0","10.1109/LGRS.2025.3636165","https://www.scopus.com/pages/publications/105024074128?origin=resultslist","Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan","Tu N.A., Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan; Makhanov N., Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan; Taniyev K., Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan; Duc Do T., Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan","Aerial video captioning (VC) facilitates the automatic interpretation of dynamic scenes in remote sensing (RS), supporting critical applications, such as disaster response, traffic monitoring, and environmental surveillance. However, challenges, such as extreme angles and continuous camera motion, require adaptive modeling of complex temporal relationships. To tackle these challenges, we leverage an image-language model as the vision encoder and introduce a temporal adaptation module that combines convolution with self-attention layers to both capture local semantics across neighboring frames and model global temporal dependencies. This design allows our model to exploit the multimodal knowledge of the vision encoder while effectively reasoning over the spatiotemporal dynamics. In addition, privacy concerns often restrict access to annotated aerial datasets, posing further challenges for model training. To address this, we develop a federated learning (FL) framework that enables collaborative model training across decentralized clients. Within this framework, we establish a unified benchmark for systematic comparison of temporal adapters, text decoders, and FL strategies, hence filling a gap in the existing literature. Extensive experiments validate the robustness of our approach and its potential for advancing aerial VC. © 2004-2012 IEEE.","Aerial videos; deep learning; federated learning (FL); language models; video captioning (VC)","Aerial photography; Antennas; Cameras; Collaborative learning; Data privacy; Distributed computer systems; Image coding; Learning systems; Network security; Remote sensing; Security systems; Semantics; Signal encoding; Aerial video; Critical applications; Deep learning; Disaster-response; Dynamic scenes; Federated learning; Language model; Model training; Remote-sensing; Video captioning; computer vision; data set; machine learning; numerical model; videography; Deep learning","N.A. Tu; Nazarbayev University, School of Engineering and Digital Sciences, Astana, 010000, Kazakhstan; email: tu.nguyen@nu.edu.kz","","Institute of Electrical and Electronics Engineers Inc.","1545598X","","","","English","IEEE Geosci. Remote Sens. Lett.","Article","Final","","Scopus","2-s2.0-105024074128"
"Liscio A.; Chiaravalloti M.T.; Dell’Isola V.G.; Moz M.","Liscio, Alessandro (58951027500); Chiaravalloti, Maria Teresa (54941334300); Dell’Isola, Vincenzo Giannattasio (59976259000); Moz, Monica (57495777100)","58951027500; 54941334300; 59976259000; 57495777100","Advancing LOINC Mapping with AI: Insights from LARA’s RAG Implementation and Expert Evaluation","2025","Lecture Notes in Computer Science","15735 LNAI","","","230","234","1","10.1007/978-3-031-95841-0_43","https://www.scopus.com/pages/publications/105009814273?origin=resultslist","Dedalus, Via Collodi 6, Florence, 50141, Italy; Istituto di Informatica e Telematica, CNR, Via P. Bucci 17/b, CS, Rende, 87036, Italy","Liscio A., Dedalus, Via Collodi 6, Florence, 50141, Italy; Chiaravalloti M.T., Istituto di Informatica e Telematica, CNR, Via P. Bucci 17/b, CS, Rende, 87036, Italy; Dell’Isola V.G., Dedalus, Via Collodi 6, Florence, 50141, Italy; Moz M., Dedalus, Via Collodi 6, Florence, 50141, Italy","Accurate mapping of laboratory codes is crucial for achieving semantic interoperability in Electronic Health Records (EHRs), yet the idiosyncrasy of local codes and names poses a significant challenge. This task is time-consuming and compounded by the absence of support tools for automatic mapping, especially for the Italian language. As well as being required by current Italian legislation, fostering LOINC coding adoption is pivotal for two primary reasons: a) laboratory reports are the most frequently indexed clinical documents in the patients’ EHRs, and b) standardized data can enhance public health monitoring and planning. This paper presents the development of the LOINC AI-based Mapping and Remapping Assistant (LARA), focusing on the implementation of Retrieval-Augmented Generation (RAG) to automate the mapping of local laboratory test codes to LOINC. LARA leverages a combination of text similarity, domain-specific embeddings, and generative AI to enhance the accuracy and efficiency of LOINC mapping. The study also evaluates LARA’s performance based on human expert feedback, analyzing the system’s ability to suggest accurate LOINC codes for laboratory test descriptions. The findings highlight LARA’s strengths in handling synonymy and mapping specificity while identifying areas requiring further refinement, such as handling ambiguous test descriptions and linguistic variations. Expert insights provide valuable directions for improving LARA’s interpretative capabilities. The results demonstrate LARA’s potential in reducing the manual effort required for LOINC mapping and reliability in the identification of the correct code to represent equivalent semantic concepts. AI-based supporting tools could thus foster the adoption of standardized coding systems. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AI; Automatic mapping; Large Language Models; LOINC; Retrieval-Augmented Generation","Codes (symbols); Electronic health record; Information systems; Interoperability; Laboratories; Laws and legislation; Mapping; Medical computing; Public health; Semantics; Automatic mapping; Electronic health; Expert evaluation; Health records; Laboratory test; Language model; Large language model; LOINC; Remapping; Retrieval-augmented generation; Artificial intelligence","A. Liscio; Dedalus, Florence, Via Collodi 6, 50141, Italy; email: alessandro.liscio02@gmail.com","Bellazzi R.; Juarez Herrero J.; Sacchi L.; Zupan B.","Springer Science and Business Media Deutschland GmbH","03029743","978-303195840-3","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-105009814273"
