"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Moghadam I.H.; Lijzenga O.; Zaytsev V.","Moghadam, Iman Hemati (42061935300); Lijzenga, Oebele (57219423866); Zaytsev, Vadim (27468166800)","42061935300; 57219423866; 27468166800","Comparative Analysis of Pre-trained Code Language Models for Automated Program Repair via Code Infill Generation","2025","GPCE 2025 - Proceedings of the 24th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences","","","","13","26","0","10.1145/3742876.3742881","https://www.scopus.com/pages/publications/105013060705?origin=resultslist","Eindhoven University of Technology, Eindhoven, Netherlands; Universiteit Twente, Enschede, Netherlands","Moghadam I.H., Eindhoven University of Technology, Eindhoven, Netherlands; Lijzenga O., Universiteit Twente, Enschede, Netherlands; Zaytsev V., Universiteit Twente, Enschede, Netherlands","Automated Program Repair (APR) has advanced significantly with the emergence of pre-trained Code Language Models (CLMs), enabling the generation of high-quality patches. However, selecting the most suitable CLM for APR remains challenging due to a range of factors, including accuracy, efficiency, and scalability, among others. These factors are interdependent and interact in complex ways, making the selection of a CLM for APR a multifaceted problem. This study systematically evaluates 20 pre-trained CLMs, ranging from 60M to 16B parameters, on the HumanEval-Java benchmark (163 buggy Java methods). The evaluation examines bug-fixing accuracy, resource consumption, compilability, patch diversity, and sampling strategies (beam search vs. nucleus sampling). Results indicate that larger models such as CodeLLaMA-13B and StarCoder generally perform better in bug fixing and compiler error handling, but scale alone does not guarantee effectiveness, as some (e.g., CodeGen2) perform poorly despite their size. Notably, memory usage increases with model size, but time consumption does not exhibit a clear correlation, suggesting that efficiency is influenced by architecture rather than scale alone. Additionally, nucleus sampling slightly outperforms beam search, though the difference is not statistically significant. Since no single CLM fixes all bugs, these findings highlight the potential of hybrid or ensemble-based CLM-driven APR approaches for more robust bug-fixing. © 2025 Owner/Author.","Automated program repair; empirical study; Java; pre-trained code language model; zero-shot learning","Artificial intelligence; Codes (symbols); Efficiency; Java programming language; Memory architecture; Object oriented programming; Program compilers; Program debugging; Repair; Automated program repair; Beam search; Bug-fixing; Code languages; Comparative analyzes; Empirical studies; High quality; Java; Language model; Pre-trained code language model; Automation","","Shaikhha A.; Erdweg S.; Amin N.","Association for Computing Machinery, Inc","","979-840071995-0","","","English","GPCE - Proc. ACM SIGPLAN Int. Conf. Gener. Progr.: Concepts Exp.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013060705"
"Patel T.P.; Shivam S.; Ranganathan V.","Patel, Tejas Pravinbhai (60578770000); Shivam, Sandeep (60579737600); Ranganathan, Viswanathan (60611251900)","60578770000; 60579737600; 60611251900","Compute-Optimal Resource Allocation for Distributed Large Language Model Inference in Cloud-Scale Intelligent Systems","2026","Proceedings of the International Symposium on Digital Forensics and Security, ISDFS","","2026","","","","8","10.1109/ISDFS69419.2026.11458958","https://www.scopus.com/pages/publications/105038332993?origin=resultslist","Irving, TX, United States; McKinney, TX, United States; Fremont, CA, United States","Patel T.P., Irving, TX, United States; Shivam S., McKinney, TX, United States; Ranganathan V., Fremont, CA, United States","Test-time compute scaling enables LLMs to improve reasoning by allocating additional inference resources. While techniques like best-of-N sampling and tree search show remarkable gains, existing work focuses on single-GPU scenarios, neglecting distributed deployment challenges. We introduce AdaptiScale, a framework for compute-optimal resource allocation in distributed LLM serving with test-time scaling. Our approach combines: (1) a lightweight difficulty estimator achieving 84% accuracy with <2ms latency, (2) hierarchical scheduling balancing parallel sampling across nodes, and (3) elastic scaling adapting cluster topology to workload patterns. Evaluation on GSM8K, MATH, and HumanEval using Mistral-7B on NVIDIA A4000 GPUs shows AdaptiScale achieves 20% higher throughput and 2.1 × better cost-efficiency versus static best-of-16 baseline. We achieve 67.2% accuracy on GSM8K (vs 65.1% static baseline) while reducing cost from $0.85 to $0.52 per 1000 requests. Simulated 4-node cluster deployment demonstrates 90% scaling efficiency, validating production viability for cost-effective reasoning-enhanced LLM deployment. © 2026 IEEE.","distributed inference; GPU scheduling; Large language models; LLM serving systems; resource allocation; test-time compute scaling","Cost effectiveness; Distributed cloud; Efficiency; Graphics processing unit; Intelligent systems; Optimization; Program processors; Topology; Distributed inference; GPU scheduling; Language model; Large language model; LLM serving system; Optimal resource allocation; Resources allocation; Scalings; Test time; Test-time compute scaling; Resource allocation","","","Institute of Electrical and Electronics Engineers Inc.","27681831","979-833157310-2","","","English","Proc. Int. Symp. Digit. Forensics Secur., ISDFS","Conference paper","Final","","Scopus","2-s2.0-105038332993"
"Xu Z.; Liu Y.; Yin Y.; Zhou M.; Poovendran R.","Xu, Zhangchen (58128225500); Liu, Yang (57221696273); Yin, Yueqin (58912892600); Zhou, Mingyuan (58771371800); Poovendran, Radha (6603592481)","58128225500; 57221696273; 58912892600; 58771371800; 6603592481","KODCODE: A Diverse, Challenging, and Verifiable Synthetic Dataset for Coding","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","","","","6980","7008","3","10.18653/v1/2025.findings-acl.365","https://www.scopus.com/pages/publications/105028594751?origin=resultslist","Microsoft GenAI; University of Washington, United States; The University of Texas, Austin, United States","Xu Z., University of Washington, United States; Liu Y., Microsoft GenAI; Yin Y., The University of Texas, Austin, United States; Zhou M., The University of Texas, Austin, United States; Poovendran R., University of Washington, United States","We introduce KODCODE, a synthetic dataset that addresses the persistent challenge of acquiring high-quality, verifiable training data across diverse difficulties and domains for training Large Language Models for coding. Existing code-focused resources typically fail to ensure either the breadth of coverage (e.g., spanning simple coding tasks to advanced algorithmic problems) or verifiable correctness (e.g., unit tests). In contrast, KODCODE comprises question-solution-test triplets that are systematically validated via a self-verification procedure. Our pipeline begins by synthesizing a broad range of coding questions, then generates solutions and test cases with additional attempts allocated to challenging problems. Finally, post-training data synthesis is done by rewriting questions into diverse formats and generating responses under a test-based reject sampling procedure from a reasoning model (DeepSeek R1). This pipeline yields a large-scale, robust and diverse coding dataset. KODCODE is suitable for supervised fine-tuning and the paired unit tests also provide great potential for RL tuning. Fine-tuning experiments on coding benchmarks (HumanEval(+), MBPP(+), BigCodeBench, and LiveCodeBench) demonstrate that KODCODE-tuned models achieve state-of-the-art performance, surpassing models like Qwen2.5-Coder-32B-Instruct and DeepSeekR1-Distill-Llama-70B. © 2025 Association for Computational Linguistics.","","Codes (symbols); Computational linguistics; Computer programming; Large datasets; Personnel training; Tuning; Algorithmic problems; Data synthesis; Fine tuning; High quality; Language model; Simple++; Synthetic datasets; Test case; Training data; Unit tests; Benchmarking","","Che W.; Nabende J.; Shutova E.; Pilehvar M.T.","Association for Computational Linguistics (ACL)","0736587X","979-889176256-5","","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028594751"
"Huang H.; Cao L.; Wang J.; Yu T.; Cai Y.","Huang, Hailin (59171593600); Cao, Liuwen (57386927400); Wang, Jiexin (57216583611); Yu, Tianchen (58928822900); Cai, Yi (55538918200)","59171593600; 57386927400; 57216583611; 58928822900; 55538918200","Code Ranking with Structure Awareness Contrastive Learning","2025","IEEE International Conference on Program Comprehension","","","","419","430","1","10.1109/ICPC66645.2025.00053","https://www.scopus.com/pages/publications/105009063509?origin=resultslist","School of Software Engineering, South China University of Technology, China; MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China","Huang H., School of Software Engineering, South China University of Technology, China, MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China; Cao L., School of Software Engineering, South China University of Technology, China, MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China; Wang J., School of Software Engineering, South China University of Technology, China, MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China; Yu T., School of Software Engineering, South China University of Technology, China, MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China; Cai Y., School of Software Engineering, South China University of Technology, China, MOE of China, Key Laboratory of Big Data and Intelligent Robot (SCUT), China","Large language models (LLMs) have revolutionized the field of programming for developers by automatically generating code based on natural language intent (NL intent). In numerous cases, LLMs can produce correct programs after several trials. As a result, a major challenge for this task is to select the most appropriate program from the multiple samples (also called code ranking) generated by LLMs. Recent popular approaches for code ranking involve the ranker-based methods, in which we train a ranker to classify the error in code using execution results (correct or error types) of code as supervised signals select the best program. However, existing rankerbased code ranking approaches rely on classification labels, which are highly sensitive to label distribution and show weak generalization ability to other distributions. In this paper, we introduce SACL-CR to address this challenge, a novel structureaware contrastive learning framework for code ranking. This approach effectively addresses the generalization issues of existing ranker-based methods by integrating both code sequence and structural information. Encoders trained with this method can effectively identify errors in code, enhancing the model's ability to differentiate between correct and incorrect code. Our research demonstrates that SACL-CR significantly enhances the pass@k accuracy of several code generation models, including CodeLlama and DeepseekCoder, on the HumanEval and MBPP datasets. The open-source code will be released at https://github.com/Iced-Americano2001/SACL-CR. © 2025 IEEE.","code ranking; contrastive learning; multi-modal momentum contrast; pre-trained model","Application programs; Automatic programming; Classification (of information); Coding errors; Computer programming languages; Contrastive Learning; Learning systems; Learning to rank; Natural language processing systems; Open source software; Open systems; Signal encoding; BEST program; Best projects; Code ranking; Error types; Language model; Multi-modal; Multi-modal momentum contrast; Multiple samples; Natural languages; Pre-trained model; Codes (symbols)","Y. Cai; School of Software Engineering, South China University of Technology, China; email: ycai@scut.edu.cn","","IEEE Computer Society","26437147","979-833150223-2","","","English","IEEE Int. Conf. Program Comprehension","Conference paper","Final","","Scopus","2-s2.0-105009063509"
"Kulshreshta P.; Banka K.; Khandelwal N.; Jain A.; Bajaj K.; Kothari S.; Mehta M.","Kulshreshta, Parth (60749667200); Banka, Kriti (60166700800); Khandelwal, Naman (60730538800); Jain, Ashi (60730808600); Bajaj, Keerti (58813240600); Kothari, Sunil (60730738800); Mehta, Manish (60730464700)","60749667200; 60166700800; 60730538800; 60730808600; 58813240600; 60730738800; 60730464700","Beyond Public Benchmarks: An LLM-as-Judge Framework for Enterprise Code Evaluation with Margin-Driven Optimization","2026","Proceedings - 2026 1st International Workshop on AI for Software Quality Evaluation: Judgment, Metrics, Benchmarks, and Beyond, AI-SQE 2026","","","","10","18","0","10.1145/3786175.3788345","https://www.scopus.com/pages/publications/105045226671?origin=resultslist","Centific, Chennai, India; Centific, Kansas City, United States; Centific, Fremont, United States","Kulshreshta P., Centific, Chennai, India; Banka K., Centific, Chennai, India; Khandelwal N., Centific, Chennai, India; Jain A., Centific, Chennai, India; Bajaj K., Centific, Kansas City, United States; Kothari S., Centific, Fremont, United States; Mehta M., Centific, Fremont, United States","Contemporary code-generation benchmarks often report high-accuracy metrics that substantially diverge from empirical performance in enterprise environments. This study documents a systematic 51.8% performance differential between public benchmark assessments (mean 74.1% across HumanEval and MBPP) and private repository task evaluations (22.3% aggregate performance). This disparity stems from a fundamental architectural misalignment: public benchmarks predominantly assess isolated, algorithmically-oriented problems, whereas enterprise software development requires repository-level understanding, cross-file dependency resolution, and domain-specific pattern recognition. We present a comprehensive triadic evaluation framework that integrates public benchmark performance, private repository task assessment, and complexity-aware scoring mechanisms to characterize enterprise deployment readiness accurately. Baseline evaluation across two distinct model architectures - code-specialized Qwen2.5-Coder-7B-Instruct and general-purpose Qwen3-8B - reveals that general-purpose architectures exhibit substantially degraded functionality on private repository tasks (2.8% in the evaluated dataset) despite demonstrating respectable public benchmark performance (63.4% on HumanEval). To address this performance gap, we introduce a joint optimization framework that combines Cross-Entropy (CE) and Margin Loss (ML) to optimize generation quality and semantic alignment simultaneously. Empirical results demonstrate architecture-dependent optimal configurations: code-specialized models achieve peak performance at 50:50 CE:ML weight allocation (+32.5% aggregate improvement, +18% functionality enhancement). In contrast, general-purpose models require a near-exclusive margin, with an emphasis on 1:99 weight distribution (+41% aggregate improvement, +320.28% functionality enhancement). This triadic evaluation methodology and architectural sensitivity analysis provide practitioners with a systematic framework for developing enterprise-grade code generation systems.  © 2026 Copyright held by the owner/author(s).","benchmark evaluation; code language models; enterprise software engineering; margin loss optimization; multi-objective fine-tuning; private repository assessment","Alignment; Architecture; Benchmarking; Codes (symbols); Computer programming languages; Enterprise software; Job analysis; Optimal systems; Semantics; Sensitivity analysis; Software design; Benchmark evaluation; Code language model; Code languages; Enterprise software engineering; Fine tuning; Language model; Losses optimisation; Margin loss optimization; Multi objective; Multi-objective fine-tuning; Private repository assessment; Aggregates","S. Kothari; Centific, Fremont, United States; email: sunil.kothari@centific.com","","Association for Computing Machinery, Inc","","979-840072407-7","","","English","Proc. - Int. Workshop AI for Softw. Qual. Eval.: Judgm., Metr., Benchmarks, Beyond, AI-SQE","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045226671"
"Peng Y.; Gotmare A.D.; Lyu M.R.; Xiong C.; Savarese S.; Sahoo D.","Peng, Yun (57223985443); Gotmare, Akhilesh Deepak (57217942439); Lyu, Michael R. (7006811415); Xiong, Caiming (37017840800); Savarese, Silvio (6603319910); Sahoo, Doyen (56355278800)","57223985443; 57217942439; 7006811415; 37017840800; 6603319910; 56355278800","PerfCodeGen: Improving Performance of LLM Generated Code with Execution Feedback","2025","Proceedings - 2025 IEEE/ACM 2nd International Conference on AI Foundation Models and Software Engineering, FORGE 2025","","","","1","13","13","10.1109/Forge66646.2025.00008","https://www.scopus.com/pages/publications/105011351574?origin=resultslist","The Chinese University of Hong Kong, Hong Kong; Salesforce Research, Singapore","Peng Y., The Chinese University of Hong Kong, Hong Kong; Gotmare A.D., Salesforce Research, Singapore; Lyu M.R., The Chinese University of Hong Kong, Hong Kong; Xiong C., Salesforce Research, Singapore; Savarese S., Salesforce Research, Singapore; Sahoo D., Salesforce Research, Singapore","Large Language Models (LLMs) are widely adopted for assisting in software development tasks, yet their performance evaluations have narrowly focused on the functional correctness of generated code. Human programmers, however, expect AI assistants to generate not only correct but also optimally efficient code. We propose PerfCodeGen, a training-free framework that enhances the performance of LLM-generated code by incorporating feedback based on runtime during test case execution into the self-refinement iterations. With PerfCodeGen, we achieve speedups for a significantly higher proportion of problems compared to using the base LLM with sophisticated prompting techniques. Applied to open-weight language models like Phi-3-mini, PerfCodeGen achieves code optimization rates comparable to naive prompting of powerful closed models like GPT-4. We achieve state-of-the-art code optimization on benchmarks such as HumanEval, MBPP, and APPS, frequently surpassing the ground truth reference solutions with PerfCodeGen using GPT-3.5 and GPT-4. Additionally, we demonstrate the effectiveness of our approach in enhancing code quality across a range of open-weight LLMs of varying sizes including Phi-3-mini (3.8B), Llama 3 8B, Mixtral 8x7B (13B active), Command R (35B), and Llama 3 70B. PerfCodeGen's effectiveness at generating performant code underscores the importance of integrating execution feedback into the code generation process, highlighting a path forward for more robust and reliable AI-driven software development.  © 2025 IEEE.","Code Generation; Code Optimization; Efficient Code; Large Language Models; Runtime Efficiency","Automatic programming; Benchmarking; Codes (symbols); Optimal systems; Optimization; Software design; Code optimization; Codegeneration; Development tasks; Efficient code; Functional correctness; Improving performance; Language model; Large language model; Performances evaluation; Run-time efficiency; Feedback","A.D. Gotmare; The Chinese University of Hong Kong, Hong Kong; email: akhilesh.gotmare@salesforce.com","","Institute of Electrical and Electronics Engineers Inc.","","979-833150211-9","","","English","Proc. - IEEE/ACM Int. Conf. AI Found. Model. Softw. Eng., FORGE","Conference paper","Final","","Scopus","2-s2.0-105011351574"
"Jia H.; Morris R.; Ye H.; Sarro F.; Mechtaev S.","Jia, Haoxiang (57453956600); Morris, Robbie (60077720800); Ye, He (59925868700); Sarro, Federica (36631133800); Mechtaev, Sergey (57021983800)","57453956600; 60077720800; 59925868700; 36631133800; 57021983800","Automated Repair of Ambiguous Problem Descriptions for LLM-Based Code Generation","2025","Proceedings - 2025 40th IEEE/ACM International Conference on Automated Software Engineering, ASE 2025","","","","367","379","2","10.1109/ASE63991.2025.00038","https://www.scopus.com/pages/publications/105034645540?origin=resultslist","Peking University, Key Laboratory of HCST (PKU), MoE, SCS, Beijing, China; University College London, United Kingdom","Jia H., Peking University, Key Laboratory of HCST (PKU), MoE, SCS, Beijing, China; Morris R., University College London, United Kingdom; Ye H., University College London, United Kingdom; Sarro F., University College London, United Kingdom; Mechtaev S., Peking University, Key Laboratory of HCST (PKU), MoE, SCS, Beijing, China","The growing use of large language models (LLMs) has increased the importance of natural language (NL) in software engineering. However, ambiguity of NL can harm software quality, as unclear problem descriptions may lead to incorrect program generation. Detecting and resolving such ambiguity is challenging, motivating our introduction of the automated repair of ambiguous NL descriptions, which we approach by reducing code generation uncertainty and better aligning NL with input-output examples. Ambiguity repair is difficult for LLMs because they must understand how their interpretation of a description changes when the text is altered. We find that directly prompting LLMs to clarify ambiguity often produces irrelevant or inconsistent edits. To address this, we decompose this task into two simpler steps: (1) analyzing and repairing the LLM's interpretation of the description - captured by the distribution of programs it induces - using traditional testing and program repair, and (2) refining the description based on distribution changes via a method we call contrastive specification inference. We implement this approach in a tool called SPEC-FIX and evaluate it using four state-of-the-art LLMs (GPT-4o, GPT-4o-mini, DeepSeek-V3, and Qwen2.5-Coder-32B-Instruct) on three popular code generation benchmarks (HumanEval+, MBPP+ and LiveCodeBench). Without human intervention or external information, SPECFIX modified 43.58% of descriptions, improving Pass@1 on the modified set by 30.9%. This yields a 4.09% absolute improvement across the entire benchmark. Repairs also transfer across models: descriptions repaired for one model improve other models' performance by 10.48%. © 2025 IEEE.","Ambiguous Problem Description; Automated Repair; Code Generation; Large Language Model","Automatic programming; Benchmarking; Codes (symbols); Computational linguistics; Computer software selection and evaluation; Natural language processing systems; Repair; Software quality; Software testing; Ambiguous problem description; Automated repair; Codegeneration; Language model; Large language model; Model based code generation; Natural languages; Problem description; Program generation; Software Quality; Automation","S. Mechtaev; Peking University, Key Laboratory of HCST (PKU), MoE, SCS, Beijing, China; email: mechtaev@pku.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","","979-835035733-2","","","English","Proc. - IEEE/ACM Int. Conf. Autom. Softw. Eng., ASE","Conference paper","Final","","Scopus","2-s2.0-105034645540"
"Sagtani H.; Mehrotra R.; Liu B.","Sagtani, Hitesh (58547106200); Mehrotra, Rishabh (55522733300); Liu, Beyang (59301127800)","58547106200; 55522733300; 59301127800","Improving FIM Code Completions via Context & Curriculum Based Learning","2025","WSDM 2025 - Proceedings of the 18th ACM International Conference on Web Search and Data Mining","","","","801","810","1","10.1145/3701551.3703563","https://www.scopus.com/pages/publications/105001669196?origin=resultslist","Sourcegraph Inc, Bengaluru, India; Pavo AI, London, United Kingdom; Sourcegraph Inc, San Francisco, CA, United States","Sagtani H., Sourcegraph Inc, Bengaluru, India; Mehrotra R., Pavo AI, London, United Kingdom; Liu B., Sourcegraph Inc, San Francisco, CA, United States","Fill-in-the-Middle (FIM) models play a vital role in code completion tasks, leveraging both prefix and suffix context to provide more accurate and contextually relevant suggestions. This paper presents approaches to improve FIM code completion while addressing the challenge of maintaining low latency for real-time coding assistance. We enhance FIM code completion by incorporating context and curriculum examples in the training process. We identify patterns where completion suggestions fail more frequently, revealing complexities that smaller language models struggle with. To address these challenges, we develop a curriculum dataset by extracting hard-to-complete patterns from code repositories and generate context examples using semantic and static analysis tools (e.g. TSC compiler). We fine-tune various sized models, including StarCoder and DeepSeek, on this enhanced dataset. Our evaluation encompasses three key dimensions: the Santa Coder FIM task, the Amazon CCEval benchmark, and a new Multi-Line Infilling evaluation benchmark derived from SWE-bench. Comprehensive ablation studies across multiple model sizes reveal that while all fine-tuned models show improvements, the performance gains are more pronounced for smaller parameter models and incorporating difficult-to-complete examples, as part of curriculum learning, improves the code completion performance. This finding is particularly significant given the latency constraints of code completion tasks. While larger models like GPT and Claude perform well in multi-line completions but are prohibitively challenging to use given high latency, and our fine-tuned models achieve a balance between performance and latency. Finally, we validate our approach through online A/B testing, demonstrating tangible improvements in Completion Acceptance Rate (CAR) and Completion Persistence Rate (CPR), with zero latency impact. © 2025 Copyright held by the owner/author(s).","A/B-testing; Code Completions; Large Language Model","Acceptance tests; Benchmarking; Curricula; Model checking; Program compilers; Static analysis; A/B-testing; Analysis tools; Code completions; Key dimensions; Language model; Large language model; Low latency; Performance; Real time coding; Training process; Semantics","R. Mehrotra; Pavo AI, London, United Kingdom; email: erishabh@gmail.com","","Association for Computing Machinery, Inc","","979-840071329-3","","","English","WSDM - Proc. ACM Int. Conf. Web Search Data Min.","Conference paper","Final","","Scopus","2-s2.0-105001669196"
"Fan L.; Chen M.; Liu Z.","Fan, Lishui (59256719600); Chen, Mouxiang (57226478159); Liu, Zhongxin (57202891175)","59256719600; 57226478159; 57202891175","SEK: Self-Explained Keywords Empower Large Language Models for Code Generation","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","","","","6249","6278","4","10.18653/v1/2025.findings-acl.324","https://www.scopus.com/pages/publications/105028611170?origin=resultslist","The State Key Laboratory of Blockchain and Data Security, Zhejiang University, China","Fan L., The State Key Laboratory of Blockchain and Data Security, Zhejiang University, China; Chen M., The State Key Laboratory of Blockchain and Data Security, Zhejiang University, China; Liu Z., The State Key Laboratory of Blockchain and Data Security, Zhejiang University, China","Large language models (LLMs) have achieved impressive performance in code generation. Despite the remarkable success, we observed that LLMs often misunderstand or overlook some problem-specific undertrained keywords during code generation, compromising the accuracy of the generated code. After explicitly explaining these undertrained keywords using well-trained terms in the prompt, LLMs are more likely to generate correct code implementation. Inspired by this observation, we propose a novel technique named SEK (Self-Explained Keywords), which empowers an LLM for better code generation by extracting and explaining the key terms in the problem description with the LLM itself. Comprehensive experiments across four benchmarks, i.e., HumanEval(+), MBPP(+), APPS and Big-CodeBench, with five representative LLMs, show that SEK can significantly improve LLMs in code generation, yielding substantial and consistent gains. For instance, SEK improves the Pass@1 of DeepSeek-Coder-V2-Instruct from 85.4% to 93.3% on the Humaneval benchmark. Further analysis confirms that SEK enables the LLMs to shift their attention from low-frequency keywords to their corresponding explanations. Our code is available at https://github.com/ZJU-CTAG/SEK. © 2025 Association for Computational Linguistics.","","Automatic programming; Computational linguistics; Natural language processing systems; Codegeneration; Correct code; Language model; Lower frequencies; Novel techniques; Performance; Problem description; Codes (symbols)","Z. Liu; The State Key Laboratory of Blockchain and Data Security, Zhejiang University, China; email: liu_zx@zju.edu.cn","Che W.; Nabende J.; Shutova E.; Pilehvar M.T.","Association for Computational Linguistics (ACL)","0736587X","979-889176256-5","","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028611170"
"Kim D.K.; Lee Y.-W.; Jeong J.S.","Kim, Dong Kwan (56019448100); Lee, Young-Wuk (60786233900); Jeong, Jung Sik (55560019900)","56019448100; 60786233900; 55560019900","Can LLMs Refactor Their Own Smelly Code? Self-Refactoring Effectiveness and Behavioral Preservation Across Four Open-Source Models","2026","Applied Sciences (Switzerland)","16","15","7733","","","0","10.3390/app16157733","https://www.scopus.com/pages/publications/105047068751?origin=resultslist","Department of Computer Engineering, Mokpo National Maritime University, Mokpo, 58628, South Korea; H4Tech, Daejeon, 34013, South Korea; Division of Maritime Transportation, Mokpo National Maritime University, Mokpo, 58628, South Korea","Kim D.K., Department of Computer Engineering, Mokpo National Maritime University, Mokpo, 58628, South Korea; Lee Y.-W., H4Tech, Daejeon, 34013, South Korea; Jeong J.S., Division of Maritime Transportation, Mokpo National Maritime University, Mokpo, 58628, South Korea","(1) Background: LLM-generated code frequently contains code smells that degrade maintainability. Whether the generating model can effectively refactor its own output—self-refactoring—remains untested. (2) Methods: We construct a taxonomy of six LLM-specific Python 3.12 code smells (F1 = 0.87) and test self-refactoring across 1404 real-inference smelly snippets from four open-source LLMs (CodeLlama-13B, DeepSeekCoder-6.7B, StarCoder2-15B, Qwen2.5-Coder-14B) on BigCodeBench. (3) Results: Three self-refactoring profiles emerge: style entrenchment (CodeLlama, 0% median SRR), inherent capability (DeepSeekCoder, 100%), and prompt-dependent (Qwen, 100% with smell-aware prompting vs. 0% zero-shot). Because one smell (Narrative Comment) dominates, per-smell-type results are foregrounded and StarCoder2 ((Formula presented.)) is preliminary. Unit tests confirm a 96.0% Behavioral Preservation Rate on test-passing snippets (95% CI 93.3–97.7%). A direct cross-refactoring experiment (356 runs, four independent refactorers) falsifies the Style Coherence Hypothesis: self-refactoring never beats the best independent model (0/89 snippets), and CodeLlama’s own code—which it cleans in 1/25 cases—is cleaned in 25/25 by other models ((Formula presented.)). A generation–refactoring feedback loop, strong in simulation, is likewise null under real inference. (4) Conclusions: Self-refactoring effectiveness depends on the interaction of model, smell type, and prompting strategy. Smell-aware prompting enables lightweight, behavior-preserving post-generation quality pipelines without extra models or retraining; the closed-loop feedback variant, by contrast, does not transfer from simulation to real inference. © 2026 by the authors.","automated software engineering; behavioral preservation; code generation; code smells; large language models; Python; self-refactoring; style coherence","Automatic programming; Behavioral research; Codes (symbols); High level languages; Open source software; Open systems; Automated software engineering; Behavioral preservation; Code smell; Codegeneration; Language model; Large language model; Open-source model; Refactorings; Self-refactoring; Style coherence; adult; article; female; human; large language model; odor; simulation; software; taxonomy; Odors","J.S. Jeong; Division of Maritime Transportation, Mokpo National Maritime University, Mokpo, 58628, South Korea; email: jsjeong@mmu.ac.kr","","Multidisciplinary Digital Publishing Institute (MDPI)","20763417","","","","English","Appl. Sci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047068751"
